"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","C","D","Incorrect","0.25","0.25"
"q3","B","C","Incorrect","0.25","0.5"
"q4","D","B","Incorrect","0.25","0.75"
"q5","D","D","Correct","1.0","1.75"
"q6","B","C","Incorrect","0.25","2.0"
"q7","C","A","Incorrect","0.25","2.25"
"q8","D","C","Incorrect","0.25","2.5"
"q9","C","A","Incorrect","0.25","2.75"
"q10","","D","Unmarked","0.0","2.75"
"q11","","C","Unmarked","0.0","2.75"
"q12","B","B","Correct","1.0","3.75"
"q13","B","A","Incorrect","0.25","4.0"
"q14","D","D","Correct","1.0","5.0"
"q15","C","B","Incorrect","0.25","5.25"
"q16","B","C","Incorrect","0.25","5.5"
"q17","C","D","Incorrect","0.25","5.75"
"q18","B","A","Incorrect","0.25","6.0"
"q19","B","B","Correct","1.0","7.0"
"q20","","C","Unmarked","0.0","7.0"
"q21","","A","Unmarked","0.0","7.0"
"q22","B","D","Incorrect","0.25","7.25"
"q23","B","B","Correct","1.0","8.25"
"q24","A","C","Incorrect","0.25","8.5"
"q25","D","A","Incorrect","0.25","8.75"
"q26","D","B","Incorrect","0.25","9.0"
"q27","A","D","Incorrect","0.25","9.25"
"q28","A","C","Incorrect","0.25","9.5"
"q29","","A","Unmarked","0.0","9.5"
"q30","","B","Unmarked","0.0","9.5"
"q31","","C","Unmarked","0.0","9.5"
"q32","","D","Unmarked","0.0","9.5"
"q33","","B","Unmarked","0.0","9.5"
"q34","D","C","Incorrect","0.25","9.75"
"q35","","A","Unmarked","0.0","9.75"
"q36","","D","Unmarked","0.0","9.75"
"q37","","B","Unmarked","0.0","9.75"
"q38","","C","Unmarked","0.0","9.75"
"q39","","A","Unmarked","0.0","9.75"
"q40","","D","Unmarked","0.0","9.75"
