"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","B","Incorrect","0.25","0.25"
"q2","C","D","Incorrect","0.25","0.5"
"q3","B","C","Incorrect","0.25","0.75"
"q4","A","B","Incorrect","0.25","1.0"
"q5","A","D","Incorrect","0.25","1.25"
"q6","B","C","Incorrect","0.25","1.5"
"q7","C","A","Incorrect","0.25","1.75"
"q8","B","C","Incorrect","0.25","2.0"
"q9","C","A","Incorrect","0.25","2.25"
"q10","A","D","Incorrect","0.25","2.5"
"q11","C","C","Correct","1.0","3.5"
"q12","C","B","Incorrect","0.25","3.75"
"q13","C","A","Incorrect","0.25","4.0"
"q14","D","D","Correct","1.0","5.0"
"q15","B","B","Correct","1.0","6.0"
"q16","B","C","Incorrect","0.25","6.25"
"q17","C","D","Incorrect","0.25","6.5"
"q18","B","A","Incorrect","0.25","6.75"
"q19","B","B","Correct","1.0","7.75"
"q20","A","C","Incorrect","0.25","8.0"
"q21","C","A","Incorrect","0.25","8.25"
"q22","B","D","Incorrect","0.25","8.5"
"q23","B","B","Correct","1.0","9.5"
"q24","A","C","Incorrect","0.25","9.75"
"q25","D","A","Incorrect","0.25","10.0"
"q26","D","B","Incorrect","0.25","10.25"
"q27","A","D","Incorrect","0.25","10.5"
"q28","A","C","Incorrect","0.25","10.75"
"q29","D","A","Incorrect","0.25","11.0"
"q30","D","B","Incorrect","0.25","11.25"
"q31","B","C","Incorrect","0.25","11.5"
"q32","B","D","Incorrect","0.25","11.75"
"q33","A","B","Incorrect","0.25","12.0"
"q34","B","C","Incorrect","0.25","12.25"
"q35","B","A","Incorrect","0.25","12.5"
"q36","B","D","Incorrect","0.25","12.75"
"q37","B","B","Correct","1.0","13.75"
"q38","C","C","Correct","1.0","14.75"
"q39","B","A","Incorrect","0.25","15.0"
"q40","B","D","Incorrect","0.25","15.25"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","B","Incorrect","0.25","0.25"
"q2","C","D","Incorrect","0.25","0.5"
"q3","B","C","Incorrect","0.25","0.75"
"q4","A","B","Incorrect","0.25","1.0"
"q5","A","D","Incorrect","0.25","1.25"
"q6","B","C","Incorrect","0.25","1.5"
"q7","C","A","Incorrect","0.25","1.75"
"q8","B","C","Incorrect","0.25","2.0"
"q9","C","A","Incorrect","0.25","2.25"
"q10","A","D","Incorrect","0.25","2.5"
"q11","C","C","Correct","1.0","3.5"
"q12","C","B","Incorrect","0.25","3.75"
"q13","C","A","Incorrect","0.25","4.0"
"q14","D","D","Correct","1.0","5.0"
"q15","B","B","Correct","1.0","6.0"
"q16","B","C","Incorrect","0.25","6.25"
"q17","C","D","Incorrect","0.25","6.5"
"q18","B","A","Incorrect","0.25","6.75"
"q19","B","B","Correct","1.0","7.75"
"q20","A","C","Incorrect","0.25","8.0"
"q21","C","A","Incorrect","0.25","8.25"
"q22","B","D","Incorrect","0.25","8.5"
"q23","B","B","Correct","1.0","9.5"
"q24","A","C","Incorrect","0.25","9.75"
"q25","D","A","Incorrect","0.25","10.0"
"q26","D","B","Incorrect","0.25","10.25"
"q27","A","D","Incorrect","0.25","10.5"
"q28","A","C","Incorrect","0.25","10.75"
"q29","D","A","Incorrect","0.25","11.0"
"q30","D","B","Incorrect","0.25","11.25"
"q31","B","C","Incorrect","0.25","11.5"
"q32","B","D","Incorrect","0.25","11.75"
"q33","A","B","Incorrect","0.25","12.0"
"q34","B","C","Incorrect","0.25","12.25"
"q35","B","A","Incorrect","0.25","12.5"
"q36","B","D","Incorrect","0.25","12.75"
"q37","B","B","Correct","1.0","13.75"
"q38","C","C","Correct","1.0","14.75"
"q39","B","A","Incorrect","0.25","15.0"
"q40","B","D","Incorrect","0.25","15.25"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","B","Incorrect","0.25","0.25"
"q2","C","D","Incorrect","0.25","0.5"
"q3","B","C","Incorrect","0.25","0.75"
"q4","A","B","Incorrect","0.25","1.0"
"q5","A","D","Incorrect","0.25","1.25"
"q6","B","C","Incorrect","0.25","1.5"
"q7","C","A","Incorrect","0.25","1.75"
"q8","B","C","Incorrect","0.25","2.0"
"q9","C","A","Incorrect","0.25","2.25"
"q10","A","D","Incorrect","0.25","2.5"
"q11","C","C","Correct","1.0","3.5"
"q12","C","B","Incorrect","0.25","3.75"
"q13","C","A","Incorrect","0.25","4.0"
"q14","D","D","Correct","1.0","5.0"
"q15","B","B","Correct","1.0","6.0"
"q16","B","C","Incorrect","0.25","6.25"
"q17","C","D","Incorrect","0.25","6.5"
"q18","B","A","Incorrect","0.25","6.75"
"q19","B","B","Correct","1.0","7.75"
"q20","A","C","Incorrect","0.25","8.0"
"q21","C","A","Incorrect","0.25","8.25"
"q22","B","D","Incorrect","0.25","8.5"
"q23","B","B","Correct","1.0","9.5"
"q24","A","C","Incorrect","0.25","9.75"
"q25","D","A","Incorrect","0.25","10.0"
"q26","D","B","Incorrect","0.25","10.25"
"q27","A","D","Incorrect","0.25","10.5"
"q28","A","C","Incorrect","0.25","10.75"
"q29","D","A","Incorrect","0.25","11.0"
"q30","D","B","Incorrect","0.25","11.25"
"q31","B","C","Incorrect","0.25","11.5"
"q32","B","D","Incorrect","0.25","11.75"
"q33","A","B","Incorrect","0.25","12.0"
"q34","B","C","Incorrect","0.25","12.25"
"q35","B","A","Incorrect","0.25","12.5"
"q36","B","D","Incorrect","0.25","12.75"
"q37","B","B","Correct","1.0","13.75"
"q38","C","C","Correct","1.0","14.75"
"q39","B","A","Incorrect","0.25","15.0"
"q40","B","D","Incorrect","0.25","15.25"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","B","Incorrect","0.25","0.25"
"q2","C","D","Incorrect","0.25","0.5"
"q3","B","C","Incorrect","0.25","0.75"
"q4","A","B","Incorrect","0.25","1.0"
"q5","A","D","Incorrect","0.25","1.25"
"q6","B","C","Incorrect","0.25","1.5"
"q7","C","A","Incorrect","0.25","1.75"
"q8","B","C","Incorrect","0.25","2.0"
"q9","C","A","Incorrect","0.25","2.25"
"q10","A","D","Incorrect","0.25","2.5"
"q11","C","C","Correct","1.0","3.5"
"q12","C","B","Incorrect","0.25","3.75"
"q13","C","A","Incorrect","0.25","4.0"
"q14","D","D","Correct","1.0","5.0"
"q15","B","B","Correct","1.0","6.0"
"q16","B","C","Incorrect","0.25","6.25"
"q17","C","D","Incorrect","0.25","6.5"
"q18","B","A","Incorrect","0.25","6.75"
"q19","B","B","Correct","1.0","7.75"
"q20","A","C","Incorrect","0.25","8.0"
"q21","C","A","Incorrect","0.25","8.25"
"q22","B","D","Incorrect","0.25","8.5"
"q23","B","B","Correct","1.0","9.5"
"q24","A","C","Incorrect","0.25","9.75"
"q25","D","A","Incorrect","0.25","10.0"
"q26","D","B","Incorrect","0.25","10.25"
"q27","A","D","Incorrect","0.25","10.5"
"q28","A","C","Incorrect","0.25","10.75"
"q29","D","A","Incorrect","0.25","11.0"
"q30","D","B","Incorrect","0.25","11.25"
"q31","B","C","Incorrect","0.25","11.5"
"q32","B","D","Incorrect","0.25","11.75"
"q33","A","B","Incorrect","0.25","12.0"
"q34","B","C","Incorrect","0.25","12.25"
"q35","B","A","Incorrect","0.25","12.5"
"q36","B","D","Incorrect","0.25","12.75"
"q37","B","B","Correct","1.0","13.75"
"q38","C","C","Correct","1.0","14.75"
"q39","B","A","Incorrect","0.25","15.0"
"q40","B","D","Incorrect","0.25","15.25"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","B","Incorrect","0.25","0.25"
"q2","C","D","Incorrect","0.25","0.5"
"q3","B","C","Incorrect","0.25","0.75"
"q4","A","B","Incorrect","0.25","1.0"
"q5","A","D","Incorrect","0.25","1.25"
"q6","B","C","Incorrect","0.25","1.5"
"q7","C","A","Incorrect","0.25","1.75"
"q8","B","C","Incorrect","0.25","2.0"
"q9","C","A","Incorrect","0.25","2.25"
"q10","A","D","Incorrect","0.25","2.5"
"q11","C","C","Correct","1.0","3.5"
"q12","C","B","Incorrect","0.25","3.75"
"q13","C","A","Incorrect","0.25","4.0"
"q14","D","D","Correct","1.0","5.0"
"q15","B","B","Correct","1.0","6.0"
"q16","B","C","Incorrect","0.25","6.25"
"q17","C","D","Incorrect","0.25","6.5"
"q18","B","A","Incorrect","0.25","6.75"
"q19","B","B","Correct","1.0","7.75"
"q20","A","C","Incorrect","0.25","8.0"
"q21","C","A","Incorrect","0.25","8.25"
"q22","B","D","Incorrect","0.25","8.5"
"q23","B","B","Correct","1.0","9.5"
"q24","A","C","Incorrect","0.25","9.75"
"q25","D","A","Incorrect","0.25","10.0"
"q26","D","B","Incorrect","0.25","10.25"
"q27","A","D","Incorrect","0.25","10.5"
"q28","A","C","Incorrect","0.25","10.75"
"q29","D","A","Incorrect","0.25","11.0"
"q30","D","B","Incorrect","0.25","11.25"
"q31","B","C","Incorrect","0.25","11.5"
"q32","B","D","Incorrect","0.25","11.75"
"q33","A","B","Incorrect","0.25","12.0"
"q34","B","C","Incorrect","0.25","12.25"
