"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","","D","Unmarked","0.0","0.0"
"q3","","C","Unmarked","0.0","0.0"
"q4","ABC","B","Incorrect","0.25","0.25"
"q5","","D","Unmarked","0.0","0.25"
"q6","","C","Unmarked","0.0","0.25"
"q7","BC","A","Incorrect","0.25","0.5"
"q8","","C","Unmarked","0.0","0.5"
"q9","","A","Unmarked","0.0","0.5"
"q10","","D","Unmarked","0.0","0.5"
"q11","D","C","Incorrect","0.25","0.75"
"q12","CD","B","Incorrect","0.25","1.0"
"q13","","A","Unmarked","0.0","1.0"
"q14","D","D","Correct","1.0","2.0"
"q15","","B","Unmarked","0.0","2.0"
"q16","","C","Unmarked","0.0","2.0"
"q17","","D","Unmarked","0.0","2.0"
"q18","","A","Unmarked","0.0","2.0"
"q19","","B","Unmarked","0.0","2.0"
"q20","CD","C","Incorrect","0.25","2.25"
"q21","ACD","A","Incorrect","0.25","2.5"
"q22","A","D","Incorrect","0.25","2.75"
"q23","A","B","Incorrect","0.25","3.0"
"q24","","C","Unmarked","0.0","3.0"
"q25","","A","Unmarked","0.0","3.0"
"q26","","B","Unmarked","0.0","3.0"
"q27","","D","Unmarked","0.0","3.0"
"q28","","C","Unmarked","0.0","3.0"
"q29","C","A","Incorrect","0.25","3.25"
"q30","","B","Unmarked","0.0","3.25"
"q31","ABC","C","Incorrect","0.25","3.5"
"q32","ABC","D","Incorrect","0.25","3.75"
"q33","ABC","B","Incorrect","0.25","4.0"
"q34","ABC","C","Incorrect","0.25","4.25"
"q35","","A","Unmarked","0.0","4.25"
"q36","","D","Unmarked","0.0","4.25"
"q37","","B","Unmarked","0.0","4.25"
"q38","","C","Unmarked","0.0","4.25"
"q39","","A","Unmarked","0.0","4.25"
"q40","","D","Unmarked","0.0","4.25"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","","B","Unmarked","0.0","0.0"
"q2","C","D","Incorrect","0.25","0.25"
"q3","AB","C","Incorrect","0.25","0.5"
"q4","D","B","Incorrect","0.25","0.75"
"q5","A","D","Incorrect","0.25","1.0"
"q6","AB","C","Incorrect","0.25","1.25"
"q7","C","A","Incorrect","0.25","1.5"
"q8","D","C","Incorrect","0.25","1.75"
"q9","C","A","Incorrect","0.25","2.0"
"q10","A","D","Incorrect","0.25","2.25"
"q11","C","C","Correct","1.0","3.25"
"q12","C","B","Incorrect","0.25","3.5"
"q13","B","A","Incorrect","0.25","3.75"
"q14","D","D","Correct","1.0","4.75"
"q15","B","B","Correct","1.0","5.75"
"q16","B","C","Incorrect","0.25","6.0"
"q17","C","D","Incorrect","0.25","6.25"
"q18","B","A","Incorrect","0.25","6.5"
"q19","B","B","Correct","1.0","7.5"
"q20","A","C","Incorrect","0.25","7.75"
"q21","C","A","Incorrect","0.25","8.0"
"q22","B","D","Incorrect","0.25","8.25"
"q23","B","B","Correct","1.0","9.25"
"q24","A","C","Incorrect","0.25","9.5"
"q25","D","A","Incorrect","0.25","9.75"
"q26","D","B","Incorrect","0.25","10.0"
"q27","A","D","Incorrect","0.25","10.25"
"q28","A","C","Incorrect","0.25","10.5"
"q29","D","A","Incorrect","0.25","10.75"
"q30","D","B","Incorrect","0.25","11.0"
"q31","","C","Unmarked","0.0","11.0"
"q32","A","D","Incorrect","0.25","11.25"
"q33","A","B","Incorrect","0.25","11.5"
"q34","CD","C","Incorrect","0.25","11.75"
"q35","A","A","Correct","1.0","12.75"
"q36","A","D","Incorrect","0.25","13.0"
"q37","A","B","Incorrect","0.25","13.25"
"q38","BC","C","Incorrect","0.25","13.5"
"q39","A","A","Correct","1.0","14.5"
"q40","","D","Unmarked","0.0","14.5"
